,0,1,2,3,Type
holadbr01,0.001,0.995,0.004,0.0,1
hollima01,0.001,0.0,0.999,0.0,2
holtbr01,0.001,0.005,0.994,0.0,2
holtty01,0.0,1.0,0.0,0.0,1
hosmeer01,0.0,0.0,1.0,0.0,2
howarry01,0.0,0.0,1.0,0.0,2
hundlni01,0.0,0.0,1.0,0.0,2
iannech01,0.0,0.001,0.999,0.0,2
iglesjo01,0.0,1.0,0.0,0.0,1
inciaen01,0.001,0.999,0.0,0.0,1
infanom01,1.0,0.0,0.0,0.0,0
jacksau01,0.0,0.998,0.002,0.0,1
jankotr01,0.0,1.0,0.0,0.0,1
jasojo01,0.001,0.003,0.996,0.0,2
jayjo02,0.0,0.04,0.96,0.0,2
jennide01,0.0,0.023,0.977,0.0,2
johnsch05,0.0,0.041,0.959,0.0,2
johnske05,0.0,0.005,0.995,0.0,2
jonesad01,0.0,0.0,1.0,0.0,2
josepca01,0.0,0.0,0.0,1.0,3
josepto01,0.016,0.0,0.984,0.0,2
joycema01,0.998,0.0,0.002,0.0,0
judgeaa01,0.0,0.869,0.131,0.0,1
kangju01,0.999,0.0,0.001,0.0,0
kempma01,0.0,0.0,1.0,0.0,2
kempto01,0.0,1.0,0.0,0.0,1
kendrho01,0.0,0.078,0.922,0.0,2
keplema01,0.0,0.001,0.999,0.0,2
kiermke01,0.002,0.998,0.0,0.0,1
kimhy01,0.0,0.0,1.0,0.0,2
kinslia01,0.0,0.0,1.0,0.0,2
kipnija01,0.006,0.007,0.987,0.0,2
kratzer01,0.0,0.0,0.0,1.0,3
lasteto01,0.0,0.001,0.999,0.0,2
lagarju01,0.0,1.0,0.0,0.0,1
lambja01,0.965,0.0,0.035,0.0,0
lawribr01,0.0,0.014,0.986,0.0,2
leeda02,0.0,0.0,1.0,0.0,2
lemahdj01,1.0,0.0,0.0,0.0,0
leonsa01,1.0,0.0,0.0,0.0,0
lindad01,0.0,0.0,1.0,0.0,2
lindofr01,0.994,0.001,0.004,0.0,0
lobatjo01,0.0,1.0,0.0,0.0,1
loneyja01,0.0,0.007,0.993,0.0,2
longoev01,0.0,0.0,1.0,0.0,2
lowrije01,0.0,0.006,0.994,0.0,2
lucrojo01,0.007,0.0,0.993,0.0,2
machama01,0.0,0.0,1.0,0.0,2
mahtomi01,0.0,0.996,0.004,0.0,1
mailelu01,0.0,1.0,0.0,0.0,1
maldoma01,0.0,1.0,0.0,0.0,1
marisja01,0.0,1.0,0.0,0.0,1
markani01,0.018,0.001,0.981,0.0,2
marteje01,0.0,0.0,1.0,0.0,2
marteke01,0.0,0.993,0.007,0.0,1
martest01,0.0,1.0,0.0,0.0,1
martile01,0.0,1.0,0.0,0.0,1
martiru01,0.006,0.0,0.994,0.0,2
martijd02,0.0,0.0,1.0,0.0,2
martimi02,0.0,0.0,0.0,1.0,3
martivi01,0.0,0.0,1.0,0.0,2
mathije01,0.0,1.0,0.0,0.0,1
mauerjo01,0.001,0.034,0.966,0.0,2
maxwebr01,0.0,0.52,0.48,0.0,1
maybica01,0.0,1.0,0.0,0.0,1
mazarno01,0.003,0.006,0.991,0.0,2
mccanbr01,0.0,0.0,1.0,0.0,2
mccanja02,0.0,0.026,0.974,0.0,2
mccutan01,0.0,0.001,0.998,0.0,2
mcgehca01,0.0,0.0,0.0,1.0,3
mercejo03,0.027,0.973,0.0,0.0,1
merriwh01,0.0,0.015,0.985,0.0,2
millebr02,0.001,0.002,0.998,0.0,2
molinya01,0.0,0.0,1.0,0.0,2
mondera02,0.0,0.0,0.0,1.0,3
montemi01,0.102,0.445,0.452,0.0,2
moralke01,0.0,0.0,1.0,0.0,2
morelmi01,0.0,0.001,0.998,0.0,2
morneju01,0.0,0.005,0.995,0.0,2
morrilo01,0.0,0.0,0.999,0.0,2
mossbr01,0.001,0.0,0.999,0.0,2
motteta01,0.001,0.999,0.0,0.0,1
moustmi01,0.0,0.0,1.0,0.0,2
moyast01,0.0,1.0,0.0,0.0,1
muncyma01,0.0,0.999,0.001,0.0,1
murphda08,0.0,0.0,1.0,0.0,2
murphjr01,0.0,0.0,0.0,1.0,3
myerswi01,0.086,0.705,0.209,0.0,1
napolmi01,0.001,0.0,0.999,0.0,2
naquity01,0.993,0.0,0.007,0.0,0
narvaom01,0.0,0.002,0.998,0.0,2
navada01,1.0,0.0,0.0,0.0,0
navardi01,0.0,0.805,0.195,0.0,1
nieuwki01,0.0,1.0,0.0,0.0,1
norride01,0.0,0.967,0.033,0.0,1
nunezed02,0.0,1.0,0.0,0.0,1
omallsh01,0.0,0.75,0.25,0.0,1
odorro01,0.0,0.0,1.0,0.0,2
orlanpa01,0.0,0.999,0.001,0.0,1
ortegra01,0.0,1.0,0.0,0.0,1
ortizda01,1.0,0.0,0.0,0.0,0
owingch01,0.0,1.0,0.0,0.0,1
ozunama01,0.001,0.007,0.992,0.0,2
paganan01,0.001,0.355,0.644,0.0,2
panikjo01,0.002,0.995,0.003,0.0,1
paredji01,0.0,0.978,0.022,0.0,1
parkby01,0.003,0.001,0.997,0.0,2
parkeja03,0.994,0.001,0.005,0.0,0
parrage01,0.0,0.0,0.026,0.974,3
paulsbe01,0.0,0.0,0.001,0.999,3
pearcst01,0.0,0.0,1.0,0.0,2
pederjo01,0.097,0.0,0.903,0.0,2
pedrodu01,0.004,0.0,0.996,0.0,2
penara02,0.0,0.999,0.001,0.0,1
pencehu01,0.0,0.0,1.0,0.0,2
pennicl01,0.0,1.0,0.0,0.0,1
peralda01,0.0,1.0,0.0,0.0,1
peraljh01,0.0,0.001,0.999,0.0,2
perazjo01,0.0,1.0,0.0,0.0,1
perezca02,0.0,1.0,0.0,0.0,1
perezhe01,0.0,1.0,0.0,0.0,1
